,date,power
0,2006-12-16,5.796
1,2006-12-16,5.872
2,2006-12-16,5.89
3,2006-12-16,4.194
4,2006-12-16,4.042
5,2006-12-16,4.2219999999999995
6,2006-12-16,4.220000000000001
7,2006-12-16,4.178
8,2006-12-16,4.172
9,2006-12-16,4.946000000000001
10,2006-12-16,5.882
11,2006-12-16,5.702
12,2006-12-16,5.6659999999999995
13,2006-12-16,4.476
14,2006-12-16,3.666
15,2006-12-16,3.422
16,2006-12-16,3.5860000000000003
17,2006-12-16,3.266
18,2006-12-16,3.728
19,2006-12-16,5.894
20,2006-12-16,7.706
21,2006-12-16,7.026
22,2006-12-16,5.174
23,2006-12-16,4.474
24,2006-12-16,3.248
25,2006-12-16,3.236
26,2006-12-16,3.228
27,2006-12-16,3.258
28,2006-12-16,3.178
29,2006-12-16,2.72
30,2006-12-16,3.834
31,2006-12-16,4.4319999999999995
32,2006-12-16,4.512
33,2006-12-16,4.258
34,2006-12-16,2.53
35,2006-12-16,2.97
36,2006-12-16,2.7680000000000002
37,2006-12-16,2.8899999999999997
38,2006-12-16,3.8480000000000003
39,2006-12-16,5.13
40,2006-12-16,6.244
41,2006-12-16,6.938
42,2006-12-16,6.618
43,2006-12-16,6.4239999999999995
44,2006-12-16,4.6000000000000005
45,2006-12-16,3.544
46,2006-12-16,3.242
47,2006-12-16,3.874
48,2006-12-16,2.468
49,2006-12-16,2.546
50,2006-12-16,4.6979999999999995
51,2006-12-16,4.6
52,2006-12-16,4.284
53,2006-12-16,4.472
54,2006-12-16,2.852
55,2006-12-16,2.928
56,2006-12-16,2.94
57,2006-12-16,2.934
58,2006-12-16,2.926
59,2006-12-16,3.452
60,2006-12-16,4.87
61,2006-12-16,4.868
62,2006-12-16,4.866
63,2006-12-16,3.176
64,2006-12-16,2.92
65,2006-12-16,2.93
66,2006-12-16,2.9619999999999997
67,2006-12-16,2.66
68,2006-12-16,2.876
69,2006-12-16,3.6239999999999997
70,2006-12-16,6.072
71,2006-12-16,4.536
72,2006-12-16,4.408
73,2006-12-16,2.96
74,2006-12-16,2.38
75,2006-12-16,2.3179999999999996
76,2006-12-16,2.324
77,2006-12-16,2.312
78,2006-12-16,2.2560000000000002
79,2006-12-16,3.144
80,2006-12-16,4.3740000000000006
81,2006-12-16,4.39
82,2006-12-16,4.396
83,2006-12-16,2.974
84,2006-12-16,2.628
85,2006-12-16,2.576
86,2006-12-16,2.4059999999999997
87,2006-12-16,2.322
88,2006-12-16,2.448
89,2006-12-16,4.298
90,2006-12-16,4.32
91,2006-12-16,4.32
92,2006-12-16,4.008
93,2006-12-16,4.308
94,2006-12-16,4.314
95,2006-12-16,4.158
96,2006-12-16,3.702
97,2006-12-16,3.548
98,2006-12-16,3.524
99,2006-12-16,3.366
100,2006-12-16,3.4859999999999998
101,2006-12-16,3.456
102,2006-12-16,3.722
103,2006-12-16,3.568
104,2006-12-16,3.458
105,2006-12-16,3.4
106,2006-12-16,3.414
107,2006-12-16,3.432
108,2006-12-16,3.418
109,2006-12-16,3.392
110,2006-12-16,3.394
111,2006-12-16,3.394
112,2006-12-16,3.406
113,2006-12-16,3.42
114,2006-12-16,3.418
115,2006-12-16,3.474
116,2006-12-16,3.332
117,2006-12-16,3.3619999999999997
118,2006-12-16,3.334
119,2006-12-16,3.314
120,2006-12-16,3.54
121,2006-12-16,3.71
122,2006-12-16,3.694
123,2006-12-16,3.784
124,2006-12-16,3.806
125,2006-12-16,3.57
126,2006-12-16,3.522
127,2006-12-16,3.504
128,2006-12-16,3.5020000000000002
129,2006-12-16,3.462
130,2006-12-16,3.284
131,2006-12-16,3.276
132,2006-12-16,3.512
133,2006-12-16,3.5780000000000003
134,2006-12-16,3.554
135,2006-12-16,3.564
136,2006-12-16,3.564
137,2006-12-16,3.548
138,2006-12-16,3.532
139,2006-12-16,3.522
140,2006-12-16,3.5020000000000002
141,2006-12-16,3.504
142,2006-12-16,3.518
143,2006-12-16,3.536
144,2006-12-16,3.564
145,2006-12-16,3.5340000000000003
146,2006-12-16,3.546
147,2006-12-16,3.532
148,2006-12-16,3.254
149,2006-12-16,3.292
150,2006-12-16,3.28
151,2006-12-16,3.28
152,2006-12-16,3.29
153,2006-12-16,3.284
154,2006-12-16,3.292
155,2006-12-16,3.284
156,2006-12-16,3.3
157,2006-12-16,3.2920000000000003
158,2006-12-16,3.294
159,2006-12-16,3.272
160,2006-12-16,3.278
161,2006-12-16,3.282
162,2006-12-16,3.292
163,2006-12-16,3.316
164,2006-12-16,3.45
165,2006-12-16,3.564
166,2006-12-16,3.552
167,2006-12-16,3.54
168,2006-12-16,3.54
169,2006-12-16,3.528
170,2006-12-16,3.456
171,2006-12-16,3.332
172,2006-12-16,3.31
173,2006-12-16,3.312
174,2006-12-16,3.314
175,2006-12-16,3.302
176,2006-12-16,3.302
177,2006-12-16,3.3
178,2006-12-16,3.29
179,2006-12-16,3.286
180,2006-12-16,3.282
181,2006-12-16,3.296
182,2006-12-16,3.334
183,2006-12-16,3.34
184,2006-12-16,3.336
185,2006-12-16,3.338
186,2006-12-16,3.34
187,2006-12-16,3.314
188,2006-12-16,3.306
189,2006-12-16,3.3
190,2006-12-16,3.304
191,2006-12-16,3.284
192,2006-12-16,3.2680000000000002
193,2006-12-16,3.2760000000000002
194,2006-12-16,3.282
195,2006-12-16,3.31
196,2006-12-16,3.328
197,2006-12-16,3.4259999999999997
198,2006-12-16,3.42
199,2006-12-16,3.414
200,2006-12-16,3.436
201,2006-12-16,3.642
202,2006-12-16,3.572
203,2006-12-16,3.588
204,2006-12-16,3.586
205,2006-12-16,3.604
206,2006-12-16,3.6
207,2006-12-16,3.634
208,2006-12-16,3.6260000000000003
209,2006-12-16,3.606
210,2006-12-16,2.0020000000000002
211,2006-12-16,2.146
212,2006-12-16,3.354
213,2006-12-16,3.356
214,2006-12-16,3.3819999999999997
215,2006-12-16,3.386
216,2006-12-16,3.378
217,2006-12-16,1.746
218,2006-12-16,3.412
219,2006-12-16,3.424
220,2006-12-16,3.406
221,2006-12-16,3.402
222,2006-12-16,2.8040000000000003
223,2006-12-16,2.248
224,2006-12-16,3.4
225,2006-12-16,3.4099999999999997
226,2006-12-16,3.378
227,2006-12-16,3.116
228,2006-12-16,1.824
229,2006-12-16,3.376
230,2006-12-16,3.466
231,2006-12-16,3.48
232,2006-12-16,3.4739999999999998
233,2006-12-16,1.95
234,2006-12-16,3.498
235,2006-12-16,3.468
236,2006-12-16,3.468
237,2006-12-16,2.61
238,2006-12-16,2.8819999999999997
239,2006-12-16,3.464
240,2006-12-16,3.444
